Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,Acq. Date-Time,,Type,Level,Sample Name,Comment,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,001CALB.d,12/18/21 11:28 AM,,CalBlk,,blank,,8622.09,4,,,70.67,25.7,26.67,21.7,42.67,39.9,68.67,7.3,33.33,12.5,10,100,9.33,24.7,7.33,56.8,22.67,43.5,33.33,62.4,3.33,91.7,55.33,12.7,8,25,26,7.7,12,28.9,24,22,14.67,20.8,55.33,7.5,192248.06,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,002CALS.d,12/18/21 11:33 AM,,CalStd,1,1,,36555.22,1,,,71081.37,0.3,16.67,34.6,89948.07,0.3,86408.95,0.5,104132.15,0.4,28368.86,2.6,18607.47,0.5,16431.85,0.7,54322.85,0.9,60610.73,1.1,19295.24,1.9,118618.42,0.5,29052.33,1.2,116944.08,0.4,39814.66,0.6,121531.68,0.8,27427.64,2,122939.24,0.4,191190.17,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,003CALS.d,12/18/21 11:38 AM,,CalStd,2,2,,69932.43,1.1,,,141627.8,0.2,30,57.7,178230.04,0.5,170759.53,0.5,206099.07,0.7,57512.89,0.3,37132.03,0.8,32601.21,0.5,108661.97,1.2,120793.71,2.3,38650.15,1.4,236402.94,0.2,58309.09,0.2,235562.15,0.4,79437.24,0.4,243102.79,0.2,54242.63,1.2,246106.11,0.2,190448.11,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,004CALS.d,12/18/21 11:43 AM,,CalStd,3,5,,170684.83,0.4,,,351146.66,0.1,16.67,91.7,442661.15,0.3,422066.16,0.1,514034.08,0.2,140099.63,1.2,91843.69,0.1,80641.15,1,268192.5,0.5,299342.65,0.7,96216.48,0.4,585169,0.3,143990.25,0.3,582851.37,0.8,197864.3,0.5,605515.98,0.6,133969.26,0.2,609914.48,0.1,190298.26,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,005CALS.d,12/18/21 11:48 AM,,CalStd,4,10,,341592.98,0.6,,,701089.69,0.3,10,0,889741.81,0.7,847781.94,0.2,1027039.27,0.5,282138.32,0.8,184689.21,0.1,161717.24,0.5,538239.75,0.4,598215.36,0.6,192376.1,0.7,1215035.59,0.7,289000.29,0.5,1190756.58,0.8,395133.45,0.2,1254661.25,0.7,269010.97,0,1266113.63,1.1,187848.19,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,006CALS.d,12/18/21 11:53 AM,,CalStd,5,25,,852602.37,0.1,,,1812296.09,0.8,26.67,21.7,2282767.42,0.7,2204522.33,1.6,2652438.92,0.4,706332.54,0.7,463152.04,0.2,405029.46,0.2,1398343.58,1.3,1551450.03,0.8,481274.19,0.8,3045941.75,1.1,722952.52,0.1,2977022.92,1,991213.77,0.4,3104500.33,1.4,674077.34,0.7,3151752.83,0.8,187026.3,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,007CALS.d,12/18/21 11:58 AM,,CalStd,6,50,,1780143.09,0.6,,,3538506.83,1.3,36.67,15.7,4505510,0.7,4294317.67,0.3,5179505,0.7,1464733.99,1.1,933762.31,0.2,818662.9,0.2,2807855,0.8,3089294.23,1.5,974017.86,0.5,5945448,0.6,1541746.38,0.6,5939125.83,1,2080043.83,0.5,6142653.33,0.6,1415699.66,2.5,6224191.67,0.3,187215.43,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,008CALS.d,12/18/21 12:03 PM,,CalStd,7,100,,3478160.25,1.2,,,6981667.33,0,33.33,62.4,8892929.67,0.4,8464511,0.2,10316297.33,0.5,2903097.46,0.4,1917204.66,0.7,1699456.25,1.2,5421418.17,0.6,6074496.99,1,2010271.66,0.7,11830030,0.6,3005501.08,0.6,11714071.67,1.3,4062250.58,0.6,12178218.67,0.3,2806509.83,0.9,12300516.33,0.2,185616.94,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,009CALS.d,12/18/21 12:08 PM,,CalStd,8,250,,8663667.33,1,,,17640456.67,0.3,36.67,31.5,22281000.67,0.4,21327229.33,0.4,26017616.67,0.3,7065697.81,0.4,4743894,0.2,4195582.33,0.4,13640313.67,0.8,15098834.78,0.5,4897547.17,0.9,29588057.33,0.3,7343502.5,0.7,29377019.33,1.2,9915523,0.6,30335363.33,0.2,6885976,1,30978368.67,0.3,186923.25,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,010CALS.d,12/18/21 12:12 PM,,CalStd,9,500,,17394426,1,,,34846304,0.3,36.67,95.8,44131618.67,0.6,42072653.33,0.3,50964105.33,0.2,14077089.37,0.5,9238578.33,0.6,8118561.5,0.7,26760200,0.8,29926699.55,0.4,9661394,0.4,58044748,0.9,14377746.67,0.5,57795162.67,0.8,19665746.67,1.2,60114874.67,0.8,13401691.67,0.6,60886648,0.6,186959.64,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,011CALS.d,12/18/21 12:16 PM,,CalStd,10,1000,,35446084,1.4,,,70784800,1.1,40,0,89065709.33,0.9,85214994.67,1.2,103528741.33,0.2,28275975.41,0.3,18586518,1,16376587,0.6,54353090.67,0.2,60777660.76,0.1,19593751.33,0.4,118200088,0.8,29017810,1.4,116967960,1,39524285.33,0.6,121281016,0.7,27255616,0.9,122930498.67,0.8,187359.49,0.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,012BLKV.d,12/18/21 12:21 PM,,BlkVrfy,,blank verify,,12202.16,1.6,,,672.02,2.9,30,88.2,840.7,4.8,848.03,4.5,908.71,9.8,230.01,15.7,166,19.4,146,16.2,548.02,9,630.04,28.9,168.67,3.6,1118.72,2.3,280.67,2.7,1120.06,3.2,377.34,15.1,1163.4,6.1,265.34,10.2,1166.07,5.2,180489.17,0.8
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1321.07 is over the calibration range,FALSE,013SMPL.d,12/18/21 12:26 PM,,Sample,,3175_1_10-30,,5568.5,0.6,,,337.34,6.2,73.33,20.8,3077171.17,0.9,342.68,1.5,284.68,7.5,113.34,18.4,60.67,16.6,59.33,28.3,936098.52,0.3,1042635.22,0.2,124,19.6,288.01,9.4,74,10.8,286.01,6.7,127.33,7.4,615.35,7.4,825342.52,0.4,388.01,9.8,177550.06,0.9
113  In  [ No Gas ] :  Calibration Curve Fit R value = 0.607214 is below the allowed minimum = 0.950000,FALSE,014SMPL.d,12/18/21 12:31 PM,,Sample,,3175_1_10-60,,4620.16,3.2,,,308.01,6,36.67,41.7,16701755,0.8,525.35,3.8,236.67,5.9,63.33,59.8,41.33,19.6,42,19,7235877,0.8,8078470.71,0.6,360.01,5.4,229.33,3.1,64.67,18.1,231.33,13.5,79.33,13.9,2654.3,1,5508948.5,0.6,481.34,9.1,176469.64,0.3
