Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,Acq. Date-Time,,Type,Level,Sample Name,Comment,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,001CALB.d,12/21/2021 11:51,,CalBlk,,blank,,0.091,18.5,,,0.001,42,299.673,34.6,0.001,8.5,0.002,22.9,0,3.5,0,43.3,0.001,45.8,0,34.6,0,66.1,0,173.2,0,86.6,0.002,14.5,0,86.6,0,15.7,<0.000,N/A,0,50,0,34.3,0.002,27.1,,
"113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 36.77 is outside the allowed range [80.00, 120.00]",FALSE,002CALS.d,12/21/2021 11:56,,CalStd,1,1,,0.099,0.8,,,0.001,2.5,419.543,49.5,0.001,13,0.002,2.7,0,18.8,0.001,91.7,0.001,61.9,0,43.3,0,34.6,0,132.3,0,72.1,0,14.8,0,70.5,0,11.8,<0.000,N/A,0,19,0.001,10.2,0,32.7,,
"45  Sc  [ No Gas ] :  CPS RSD value = 24.05 is over the allowed maximum = 5.0089  Y  [ No Gas ] :  CPS RSD value = 13.69 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000139  La  [ No Gas ] :  CPS RSD value = 13.22 is over the allowed maximum = 5.00140  Ce  [ No Gas ] :  CPS RSD value = 13.29 is over the allowed maximum = 5.00141  Pr  [ No Gas ] :  CPS RSD value = 12.88 is over the allowed maximum = 5.00144  Nd  [ No Gas ] :  CPS RSD value = 12.04 is over the allowed maximum = 5.00146  Nd  [ No Gas ] :  CPS RSD value = 13.19 is over the allowed maximum = 5.00147  Sm  [ No Gas ] :  CPS RSD value = 13.52 is over the allowed maximum = 5.00151  Eu  [ No Gas ] :  CPS RSD value = 13.85 is over the allowed maximum = 5.00153  Eu  [ No Gas ] :  CPS RSD value = 13.88 is over the allowed maximum = 5.00157  Gd  [ No Gas ] :  CPS RSD value = 14.32 is over the allowed maximum = 5.00159  Tb  [ No Gas ] :  CPS RSD value = 14.00 is over the allowed maximum = 5.00163  Dy  [ No Gas ] :  CPS RSD value = 14.38 is over the allowed maximum = 5.00165  Ho  [ No Gas ] :  CPS RSD value = 13.25 is over the allowed maximum = 5.00166  Er  [ No Gas ] :  CPS RSD value = 14.47 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 13.25 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 14.99 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 14.44 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 7.97 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 39.48 is outside the allowed range [80.00, 120.00]",FALSE,003CALS.d,12/21/2021 12:02,,CalStd,2,2,,0.398,24,,,0.597,13.7,479.477,94.4,0.618,13.2,0.623,13.3,0.623,12.9,0.636,12,0.632,13.2,0.632,13.5,0.63,13.9,0.63,13.9,0.618,14.3,0.641,14,0.647,14.4,0.648,13.2,<0.000,N/A,0.653,13.3,0.645,15,0.657,14.4,,
"45  Sc  [ No Gas ] :  CPS RSD value = 14.29 is over the allowed maximum = 5.0089  Y  [ No Gas ] :  CPS RSD value = 11.92 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000139  La  [ No Gas ] :  CPS RSD value = 12.87 is over the allowed maximum = 5.00140  Ce  [ No Gas ] :  CPS RSD value = 12.51 is over the allowed maximum = 5.00141  Pr  [ No Gas ] :  CPS RSD value = 12.27 is over the allowed maximum = 5.00144  Nd  [ No Gas ] :  CPS RSD value = 11.53 is over the allowed maximum = 5.00146  Nd  [ No Gas ] :  CPS RSD value = 12.55 is over the allowed maximum = 5.00147  Sm  [ No Gas ] :  CPS RSD value = 12.80 is over the allowed maximum = 5.00151  Eu  [ No Gas ] :  CPS RSD value = 13.14 is over the allowed maximum = 5.00153  Eu  [ No Gas ] :  CPS RSD value = 13.12 is over the allowed maximum = 5.00157  Gd  [ No Gas ] :  CPS RSD value = 12.70 is over the allowed maximum = 5.00159  Tb  [ No Gas ] :  CPS RSD value = 12.87 is over the allowed maximum = 5.00163  Dy  [ No Gas ] :  CPS RSD value = 12.00 is over the allowed maximum = 5.00165  Ho  [ No Gas ] :  CPS RSD value = 11.73 is over the allowed maximum = 5.00166  Er  [ No Gas ] :  CPS RSD value = 12.36 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 12.15 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 11.43 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 12.31 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 5.41 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 44.99 is outside the allowed range [80.00, 120.00]",FALSE,004CALS.d,12/21/2021 12:07,,CalStd,3,5,,0.735,14.3,,,1.041,11.9,299.673,34.6,1.071,12.9,1.07,12.5,1.077,12.3,1.106,11.5,1.092,12.6,1.076,12.8,1.087,13.1,1.114,13.1,1.075,12.7,1.114,12.9,1.116,12,1.131,11.7,0.241,58.4,1.13,12.1,1.128,11.4,1.147,12.3,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,005CALB.d,12/21/2021 13:26,,CalBlk,,blank,,0.125,2.5,,,0.001,24.7,659.281,56.8,0.001,9.9,0.001,13.3,0,29.3,0,173.2,0.001,67.3,0,33.3,0,21.5,0.001,32.7,0,13.3,0,16,0,24.7,0,21.7,<0.000,N/A,0,45.4,0,34.6,0,23,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,006CALS.d,12/21/2021 13:31,,CalStd,1,1,,0.932,1.6,,,0.991,0.7,539.412,88.2,0.992,0.5,0.988,0.5,0.981,0.3,0.988,0.4,0.978,1.5,0.991,1.4,0.975,0.6,0.956,1.4,0.959,0.5,0.977,0.2,0.977,0.7,0.976,0.5,0.086,8,0.984,0.2,0.973,0.7,0.983,0.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,007CALS.d,12/21/2021 13:36,,CalStd,2,2,,1.996,1.3,,,2.078,0.7,479.477,108.3,2.094,0.5,2.079,0.5,2.077,0.5,2.089,1.2,2.064,1.4,2.066,0.9,2.079,0.5,2.066,1.4,2.047,1.5,2.066,1.1,2.052,0.9,2.077,0.3,1.185,0.7,2.093,1.2,2.079,0.6,2.092,0.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,008CALS.d,12/21/2021 13:41,,CalStd,3,5,,4.881,0.7,,,5.05,0.4,599.347,17.3,5.033,0.1,5.019,0.2,5.029,0.4,5.052,0.4,5.046,0.3,4.99,0.2,5.033,0.3,5.007,0.1,4.962,0.7,5.036,0.2,5.006,0.2,5.042,0.3,4.149,0.6,5.061,0.2,5.023,0.7,5.06,0.1,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,009CALS.d,12/21/2021 13:46,,CalStd,4,10,,9.758,0.3,,,10.257,0.4,1018.889,10.2,10.249,0.4,10.2,0.5,10.392,0.7,10.315,0.6,10.229,0.6,10.178,0.2,10.22,0.4,10.223,0.7,10.132,0.6,10.445,1.6,10.184,0.5,10.505,0.5,9.368,0.6,10.545,0.3,10.197,0.4,10.464,0.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,010CALS.d,12/21/2021 13:51,,CalStd,5,25,,25.524,1.7,,,25.856,0.2,659.281,87.7,25.938,0.9,25.834,1,25.76,0.9,25.381,0.8,25.254,0.2,25.284,0.6,25.82,0.5,25.839,0.1,25.093,0.5,25.533,0.6,25.173,0.5,25.915,0.8,24.603,0.5,25.633,0.6,25.328,0.2,26.018,0.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,011CALS.d,12/21/2021 13:56,,CalStd,6,50,,51.147,0.8,,,51.436,0.7,958.955,28.6,51.394,0.6,51.028,0.5,50.667,0.3,52.831,1.4,51.358,0.2,51.222,0.5,52.015,0.2,52.303,0.7,51.184,0.4,50.543,0.7,52.129,1.2,51.107,0.6,51.73,0.8,51.298,0.9,52.951,1.3,51.413,0.9,,
