Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,Acq. Date-Time,,Type,Level,Sample Name,Comment,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,001CALB.d,12/09/21 11:04 AM,,CalBlk,,blank,,3706.53,0.7,,,59.33,14,53.33,28.6,36.67,8.3,98,10.8,30,35.3,3.33,173.2,10,52.9,2.67,114.6,6.67,62.4,26.67,94.4,6,88.2,68,11.8,8.67,35.3,25.33,4.6,9.33,32.7,29.33,10.4,9.33,32.7,50,24,136810.88,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 7.39 is over the allowed maximum = 5.00,FALSE,002CALS.d,12/09/21 11:10 AM,,CalStd,1,1,,23289.17,2.1,,,62004.19,2.1,63.33,63.8,82018.15,1.7,78682.54,2,96898.16,2,27366.65,3.4,17720.23,2.2,15415.96,1.5,51506.8,1.2,56599.67,1.4,18351.21,2.3,113517.09,1.4,28177.81,2.3,112396.9,1.6,38690.63,0.5,118729.74,1.7,26517.75,1.4,121341.56,1.7,139749.24,7.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,003CALS.d,12/09/21 11:15 AM,,CalStd,2,2,,46900.59,2.8,,,124260.54,0.4,33.33,62.4,165102.79,0.3,157601.12,0.6,195016.21,0.4,53482.14,2,35324.23,0.6,30928.38,0.7,103699.54,0.4,113097.22,0.4,37208.57,0.5,226577.3,0.1,55761.86,0.5,225882.89,0.3,76946.16,0.3,237111.31,0.2,52801.94,0.7,241976.5,0.1,132449.04,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,004CALS.d,12/09/21 11:20 AM,,CalStd,3,5,,121884.87,1.1,,,312234.04,0.3,53.33,60.3,414612.64,0.3,394525.72,0.2,490919.39,0.1,134709.63,1.1,89529.89,0.7,77926.04,0.5,261513.02,0.7,288637.31,0.3,93485.36,1.1,573959.46,0.7,140942.2,0.4,569818.54,0.3,195081.35,0.2,599497.69,0.2,134526.89,0.1,611326.73,0.1,133067.62,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,005CALS.d,12/09/21 11:25 AM,,CalStd,4,10,,242830.23,0.8,,,612480.31,0.3,46.67,32.7,815525.98,0.4,778135.21,0.1,968143.17,0.4,267450.61,1.1,175946.18,0.5,154036.14,1.2,516320.87,0.7,571048.29,0.7,186283.85,0.5,1129749.75,0.4,279247.22,0.3,1126723.79,0.5,383140.8,0.6,1198812.38,0.8,264422.41,0.2,1208717.54,1.4,133099.44,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,006CALS.d,12/09/21 11:30 AM,,CalStd,5,25,,617932.9,0.4,,,1556390.63,0.6,23.33,65.5,2062379,2.3,1974811,0.2,2449714.83,1.5,666886.97,0.3,442701.75,0.3,386202.47,0.3,1336548.33,0.3,1450898.16,1.1,464468.57,0.3,2864900.33,1,700485.83,0.7,2888666.67,0.7,968518.12,0.1,2960533.83,1.1,667840.79,0.5,3060129.83,0.5,133377.81,1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 10.91 is over the allowed maximum = 5.00,FALSE,007CALS.d,12/09/21 11:35 AM,,CalStd,6,50,,1293822.87,1.5,,,3100015.33,0.7,73.33,34.3,4095143.42,1.6,3948291.5,2.2,4903185.83,1.2,1379228.83,1.6,897767.56,1.1,786463.25,0.7,2652317.75,0.7,2920756.73,1.2,941707.92,1.3,5725019.5,1,1453331.29,1,5668969.67,1.1,1969602.08,1.8,5966961.17,1.5,1388328.38,1.4,6071643.33,1.5,125500.18,10.9
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,008CALS.d,12/09/21 11:40 AM,,CalStd,7,100,,2501172.83,0.5,,,6070912,0.5,43.33,58.1,8078886.5,1.5,7676475.67,0.1,9630159.67,0.8,2716605.48,1,1822735.63,0.8,1583485.17,0.9,5186343.83,0.3,5684046.58,0.8,1891744.83,0.7,11228501.33,0.9,2857686.17,1,11264635.67,1.2,3909312.75,0.8,11780058.67,0.7,2738862.75,0.4,12064826.67,0.5,132510.43,0.5
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.256925 is below the allowed minimum = 0.950000,FALSE,009CALS.d,12/09/21 11:44 AM,,CalStd,8,250,,6176111.17,0.7,,,15071962,0.5,30,88.2,20017017.33,0.7,19047653.33,0.5,23821687.33,0.6,6505245.32,1.3,4360861.83,1.1,3866900.17,1,12740710.33,1.2,14093366.04,1,4659726.33,1.1,28276153.33,0.7,6993574,1.3,27835095.33,1,9547023.67,0.5,29023604.67,0.8,6613932,1.2,29823704,0.9,130803.26,0.9
