Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,Acq. Date-Time,,Type,Level,Sample Name,Comment,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,001CALB.d,12/21/2021 11:51,,CalBlk,,blank,,3410.46,18.5,,,112,42,16.67,34.6,62,8.5,195.33,22.9,33.33,3.5,13.33,43.3,13.33,45.8,3.33,34.6,8,66.1,3.33,173.2,4,86.6,240,14.5,4,86.6,7.33,15.7,4,100,4,50,14.67,34.3,254,27.1,1600336.25,1.2
"113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 36.77 is outside the allowed range [80.00, 120.00]",FALSE,002CALS.d,12/21/2021 11:56,,CalStd,1,1,,3689.19,0.8,,,80,2.5,23.33,49.5,108,13,183.33,2.7,54.67,18.8,16.67,91.7,18,61.9,5.33,43.3,23.33,34.6,20,132.3,10,72.1,43.33,14.8,8.67,70.5,35.33,11.8,16,54.5,38,19,22.67,10.2,52.67,32.7,588496.67,3.6
"45  Sc  [ No Gas ] :  CPS RSD value = 24.05 is over the allowed maximum = 5.0089  Y  [ No Gas ] :  CPS RSD value = 13.69 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000139  La  [ No Gas ] :  CPS RSD value = 13.22 is over the allowed maximum = 5.00140  Ce  [ No Gas ] :  CPS RSD value = 13.29 is over the allowed maximum = 5.00141  Pr  [ No Gas ] :  CPS RSD value = 12.88 is over the allowed maximum = 5.00144  Nd  [ No Gas ] :  CPS RSD value = 12.04 is over the allowed maximum = 5.00146  Nd  [ No Gas ] :  CPS RSD value = 13.19 is over the allowed maximum = 5.00147  Sm  [ No Gas ] :  CPS RSD value = 13.52 is over the allowed maximum = 5.00151  Eu  [ No Gas ] :  CPS RSD value = 13.85 is over the allowed maximum = 5.00153  Eu  [ No Gas ] :  CPS RSD value = 13.88 is over the allowed maximum = 5.00157  Gd  [ No Gas ] :  CPS RSD value = 14.32 is over the allowed maximum = 5.00159  Tb  [ No Gas ] :  CPS RSD value = 14.00 is over the allowed maximum = 5.00163  Dy  [ No Gas ] :  CPS RSD value = 14.38 is over the allowed maximum = 5.00165  Ho  [ No Gas ] :  CPS RSD value = 13.25 is over the allowed maximum = 5.00166  Er  [ No Gas ] :  CPS RSD value = 14.47 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 13.25 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 14.99 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 14.44 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 7.97 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 39.48 is outside the allowed range [80.00, 120.00]",FALSE,003CALS.d,12/21/2021 12:02,,CalStd,2,2,,14838.65,24,,,45210.15,13.7,26.67,94.4,59363.29,13.2,58012.51,13.3,70842.87,12.9,19772.72,12,13010.75,13.2,11393.22,13.5,37819.6,13.9,41974.94,13.9,13345.2,14.3,84180.57,14,21013.8,14.4,84516.2,13.2,28343.74,14.5,88507.65,13.3,19600.94,15,90022.46,14.4,631849.02,8
"45  Sc  [ No Gas ] :  CPS RSD value = 14.29 is over the allowed maximum = 5.0089  Y  [ No Gas ] :  CPS RSD value = 11.92 is over the allowed maximum = 5.00113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000139  La  [ No Gas ] :  CPS RSD value = 12.87 is over the allowed maximum = 5.00140  Ce  [ No Gas ] :  CPS RSD value = 12.51 is over the allowed maximum = 5.00141  Pr  [ No Gas ] :  CPS RSD value = 12.27 is over the allowed maximum = 5.00144  Nd  [ No Gas ] :  CPS RSD value = 11.53 is over the allowed maximum = 5.00146  Nd  [ No Gas ] :  CPS RSD value = 12.55 is over the allowed maximum = 5.00147  Sm  [ No Gas ] :  CPS RSD value = 12.80 is over the allowed maximum = 5.00151  Eu  [ No Gas ] :  CPS RSD value = 13.14 is over the allowed maximum = 5.00153  Eu  [ No Gas ] :  CPS RSD value = 13.12 is over the allowed maximum = 5.00157  Gd  [ No Gas ] :  CPS RSD value = 12.70 is over the allowed maximum = 5.00159  Tb  [ No Gas ] :  CPS RSD value = 12.87 is over the allowed maximum = 5.00163  Dy  [ No Gas ] :  CPS RSD value = 12.00 is over the allowed maximum = 5.00165  Ho  [ No Gas ] :  CPS RSD value = 11.73 is over the allowed maximum = 5.00166  Er  [ No Gas ] :  CPS RSD value = 12.36 is over the allowed maximum = 5.00169  Tm  [ No Gas ] :  CPS RSD value = 12.15 is over the allowed maximum = 5.00172  Yb  [ No Gas ] :  CPS RSD value = 11.43 is over the allowed maximum = 5.00175  Lu  [ No Gas ] :  CPS RSD value = 12.31 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 5.41 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 44.99 is outside the allowed range [80.00, 120.00]",FALSE,004CALS.d,12/21/2021 12:07,,CalStd,3,5,,27435.2,14.3,,,78818.75,11.9,16.67,34.6,102948.29,12.9,99694,12.5,122515.66,12.3,34393.81,11.5,22487.91,12.6,19380.15,12.8,65189.21,13.1,74268.62,13.1,23223.33,12.7,146230.84,12.9,36272.7,12,147645.05,11.7,49867.03,12.4,153051.45,12.1,34314.75,11.4,157053.34,12.3,719913.71,5.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,005CALB.d,12/21/2021 13:26,,CalBlk,,blank,,4662.82,2.5,,,65.33,24.7,36.67,56.8,90.67,9.9,134.67,13.3,38,29.3,10,173.2,14.67,67.3,6,33.3,19.33,21.5,46.67,32.7,8.67,13.3,50,16,9.33,24.7,32,21.7,6,88.2,42,45.4,10,34.6,46,23,176329.97,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,006CALS.d,12/21/2021 13:31,,CalStd,1,1,,34778.73,1.6,,,75047.65,0.7,30,88.2,95392.18,0.5,92020.32,0.5,111633.85,0.3,30724.34,0.4,20148.45,1.5,17849.1,1.4,58521.45,0.6,63702.53,1.4,20723.49,0.5,128267.08,0.2,31736.77,0.7,127425.33,0.5,43063.39,0.7,133315.33,0.2,29585.82,0.7,134609.08,0.7,178849.38,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,007CALS.d,12/21/2021 13:36,,CalStd,2,2,,74487.08,1.3,,,157302.63,0.7,26.67,108.3,201313.14,0.5,193704.72,0.5,236305.92,0.5,64985.1,1.2,42493.88,1.4,37222.42,0.9,124747,0.5,137763.45,1.4,44214.86,1.5,271218.67,1.1,66662.52,0.9,271080.03,0.3,91282.87,0.4,283497.24,1.2,63231.53,0.6,286433.85,0.9,188027.52,1.3
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,008CALS.d,12/21/2021 13:41,,CalStd,3,5,,182182.96,0.7,,,382258.94,0.4,33.33,17.3,483806.14,0.1,467648.42,0.2,571988.06,0.4,157153.87,0.4,103901.66,0.3,89913.97,0.2,301951.29,0.3,333784.03,0.1,107195.52,0.7,661107.79,0.2,162646.32,0.2,657923.79,0.3,221346.74,0.5,685664.46,0.2,152754.66,0.7,692921.38,0.1,181076.03,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.096648 is below the allowed minimum = 0.950000,FALSE,009CALS.d,12/21/2021 13:46,,CalStd,4,10,,364220.49,0.3,,,776385.81,0.4,56.67,10.2,985186.1,0.4,950429.98,0.5,1182078.87,0.7,320911.18,0.6,210639.49,0.6,183403.07,0.2,613163.65,0.4,681532.28,0.7,218883.38,0.6,1371129.17,1.6,330895.32,0.5,1370900.37,0.5,450362.78,0.6,1428542.55,0.3,310107.29,0.4,1432950.17,0.6,180840.3,0.4
