Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,,Acq. Date-Time,Type,Level,Sample Name,Comment,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD,CPS,CPS RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,001CALB.d,,12/4/2021 18:59,CalBlk,,blank,,6262.13,2.4,,,39.33,26.1,50,20,39.33,44.4,124.67,23.4,32.67,23.2,16.67,91.7,5.33,21.7,4,100,10.67,43.3,6.67,86.6,8,43.3,48.67,12.6,6.67,69.3,20,26.5,11.33,10.2,18.67,49.5,10.67,28.6,50.67,20.3,174447.17,0.1
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,002CALS.d,,12/4/2021 19:04,CalStd,1,1,,30518.57,1.6,,,73607.65,0.3,53.33,10.8,92772.49,0.4,88423.85,1,106863.05,0.8,28796.26,0.6,19269.78,1.2,16793.67,0.4,54876.6,1.3,61622.68,1.1,20027.04,0.9,120665.99,0.7,29615.01,0.9,119451.57,0.7,40295.56,0.6,123525.53,1,27760.99,1.4,125607.33,0.2,174086.53,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,003CALS.d,,12/4/2021 19:09,CalStd,2,2,,61489.67,1.9,,,145293.18,0.5,56.67,27,183765.46,1,174525.92,0.7,211071.47,0.4,57518.92,2.1,38167.01,1.4,33036.99,1.7,110314.69,0.7,121968.35,1.6,39780.28,0.9,241122.33,0.5,58071.99,1,237032.46,0.6,80218.81,0.3,246695.85,0.4,55133.82,1.2,250026.48,0.3,173344.48,0.7
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,004CALS.d,,12/4/2021 19:14,CalStd,3,5,,157311.5,1.8,,,361261.96,0.6,40,86.6,454994.73,0.5,431846.78,0.7,526356.95,0.5,142988.63,0.6,94704.92,0.4,82120.44,0.4,273119.33,0.4,304374.36,0.5,99182.28,0.4,598667.67,0.4,145980.86,0.3,590711.13,0.5,200176.72,0.2,613963.77,0.3,137299.41,0.1,623883.46,0.3,172844.17,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,005CALS.d,,12/4/2021 19:19,CalStd,4,10,,327368.4,1,,,725203.27,0.4,53.33,47.2,913680.35,0.5,869154.48,0.3,1059569.37,0.5,291137.65,0.3,190542.1,0.6,164100.94,0.4,552227.87,0.3,612996.8,0.7,198430.41,0.9,1231282.87,0.4,292792.38,0.9,1210622.54,1.8,402711.26,0.4,1256093.83,0.8,275886.08,0.5,1279544.71,1,172508.17,0.4
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,006CALS.d,,12/4/2021 19:24,CalStd,5,25,,826053.48,0.3,,,1849973.08,0.9,90,11.1,2323654.33,0.7,2207529.08,0.4,2704903.17,1.9,725654.08,1,477461.84,0.1,411091.54,0.5,1403637.09,0.5,1551418.78,1.2,493682.45,0.3,3025795.25,0.6,729989.27,0.2,3006941.17,1.7,1000327.75,0.6,3121077.92,0.9,688061.77,0.6,3153204.75,0.6,170733.81,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,007CALS.d,,12/4/2021 19:29,CalStd,6,50,,1779690.63,1.1,,,3719730.42,0.6,60,28.9,4645766.5,0.3,4485366.5,0.4,5461989.17,0.8,1529776.96,0.7,981707.46,0.4,847824.19,0.2,2858084.25,0.2,3172491.2,0.5,1022291.69,0.3,6163377.67,0.4,1538187.08,0.7,6059230,0.2,2122767.08,1.9,6312731,0.7,1466938.17,0.6,6414897.33,1,171703.16,0.6
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,008CALS.d,,12/4/2021 19:34,CalStd,7,100,,3494944.67,1.6,,,7173403,0.3,26.67,57.3,9009288.33,0.2,8684737.33,0.5,10539326.67,1.1,2947776.31,0.8,1956387.5,0.6,1700949.45,0.5,5509206.67,0.6,6114180.53,0.5,2062194.96,1,12068294.67,0.9,3014650.75,0.9,11863712,0.3,4087338.08,0.4,12335576.33,0.5,2893810.67,0.9,12575883.33,0.9,170209.96,0.2
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.204852 is below the allowed minimum = 0.950000,FALSE,009CALS.d,,12/4/2021 19:39,CalStd,8,250,,8490455,1.5,,,17884420,0.3,66.67,37.7,22403364.67,0.3,21567201.33,0.5,26153553.33,0.3,7174342.39,0.4,4781300.17,1.2,4169778.67,1.9,13644390.33,0.6,15218795.61,1,5025926,1.4,30025628.67,0.7,7379654.83,0.7,29626808,0.3,10011753.33,0.1,30774774.67,0.5,6952114.5,1.6,31353038,0.7,169642.45,0.9
