Sample,,,,,,,,,45  Sc  [ No Gas ] ,,56  Fe  [ No Gas ] ,,89  Y  [ No Gas ] ,,113  In  [ No Gas ] ,,139  La  [ No Gas ] ,,140  Ce  [ No Gas ] ,,141  Pr  [ No Gas ] ,,144  Nd  [ No Gas ] ,,146  Nd  [ No Gas ] ,,147  Sm  [ No Gas ] ,,151  Eu  [ No Gas ] ,,153  Eu  [ No Gas ] ,,157  Gd  [ No Gas ] ,,159  Tb  [ No Gas ] ,,163  Dy  [ No Gas ] ,,165  Ho  [ No Gas ] ,,166  Er  [ No Gas ] ,,169  Tm  [ No Gas ] ,,172  Yb  [ No Gas ] ,,175  Lu  [ No Gas ] ,,103  Rh ( ISTD )  [ No Gas ] ,
,Rjct,Data File,,Acq. Date-Time,Type,Level,Sample Name,Comment,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD,Conc.,Conc. RSD
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,001CALB.d,,12/11/2021 12:06,CalBlk,,blank,,0.172,2.3,,,0.001,12.5,1192.119,91.7,0.001,3.6,0.001,12.1,0,38.2,0.001,34.6,0,35.3,0,25,0,60.8,0,21.7,0,20,0.001,26.4,0,26.6,0,3.5,<0.000,N/A,0,20,0.001,0,0,6.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,002CALS.d,,12/11/2021 12:11,CalStd,1,1,,0.985,2.5,,,1.029,0.1,834.483,99,1.022,0.4,1.017,0.7,1.017,0.6,1.013,2.8,1.014,0.9,1.006,1.3,1.015,0.5,1.011,0.5,1.002,0.8,1.01,0.6,1.01,0.8,1.012,0.8,0.014,36.7,1.006,0.5,1.026,0.7,1.012,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,003CALS.d,,12/11/2021 12:16,CalStd,2,2,,1.947,1.7,,,2.04,0.5,1430.542,25,2.024,0.4,2.038,1,2.008,0.1,2.018,1.9,1.992,1.6,1.982,1.3,2.02,0.6,1.997,1.2,2.009,0.7,2.013,1,1.997,0.2,2.02,0.8,1.015,1.2,2.01,0.5,2.021,1.1,2.005,0.9,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,004CALS.d,,12/11/2021 12:21,CalStd,3,5,,4.873,0.2,,,5.049,0.3,238.424,173.2,5.07,0.4,5.028,0.1,5.015,0.2,5.034,1.4,4.998,0.6,4.967,0.7,4.996,0.5,4.995,0.6,5,0.8,5.032,0.2,4.998,0.3,5.047,0.5,4.047,0.6,5.043,0.3,5.008,0.5,5.012,0.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,005CALS.d,,12/11/2021 12:26,CalStd,4,10,,9.841,0.3,,,10.052,0.6,1549.754,26.6,10.031,0,10.029,0.3,9.995,0.2,10.031,0.9,9.986,0.1,9.955,0.2,10.004,0.5,10.016,0.1,9.912,0.4,10.337,1.1,9.954,0.4,10.315,0.9,9.067,0.2,10.413,1.2,10.03,0.2,10.363,1.5,,
"113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000103  Rh ( ISTD )  [ No Gas ] :  CPS RSD value = 23.88 is over the allowed maximum = 5.00103  Rh ( ISTD )  [ No Gas ] :  ISTD Recovery Percent value = 76.12 is outside the allowed range [80.00, 120.00]",FALSE,006CALS.d,,12/11/2021 12:31,CalStd,5,25,,25.034,3.1,,,25.799,2.5,476.847,43.3,25.932,1.6,26.172,2.7,25.841,0.6,25.391,1.1,25.13,1.3,25.218,1.6,26.017,0.4,26.379,1.2,25.059,1.2,25.879,0.7,25.381,1.5,26.169,2.3,24.53,1.9,25.943,2.3,25.516,1.5,26.168,2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,007CALS.d,,12/11/2021 12:36,CalStd,6,50,,51.167,1.2,,,50.413,0.6,953.695,78.1,50.537,0.8,50.597,0.8,50.42,0.6,51.964,2.4,50.231,0.2,50.257,0.9,51.486,0.3,51.836,0.5,50.162,0.4,51.26,1.4,52.72,1,51.095,0.9,51.086,0.4,50.682,1.8,52.638,0.9,50.993,0.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,008CALS.d,,12/11/2021 12:41,CalStd,7,100,,101.083,2.1,,,99.469,0.8,834.483,49.5,100.077,0.6,100.713,0.9,100.234,1.1,103.169,0.3,102.657,0.5,104.038,1.5,100.85,0.7,100.386,1.3,104.874,1.2,100.599,0.7,104.573,0.9,101.168,0.6,102.391,1.9,101.035,0.7,104.706,1,101.56,0.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,009CALS.d,,12/11/2021 12:46,CalStd,8,250,,246.622,1.4,,,247.915,0.4,1072.907,33.3,248.545,0.7,249.714,1,251.508,0.6,248.427,0.4,249.652,0.8,251.552,1.2,250.722,0.3,250.673,0.9,249.77,0.1,250.736,0.7,251.107,1.2,250.616,0.2,251.624,0.4,250.041,1.2,254.029,0.3,251.744,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,010CALS.d,,12/11/2021 12:50,CalStd,9,500,,491.778,0.4,,,494.705,1.1,596.059,91.7,494.045,0.9,494.734,0.6,488.803,0.7,493.465,1.2,490.322,0.5,495.589,0.6,495.605,0.8,496.734,0.4,493.921,0.3,496.974,0.3,494.018,0.8,495.617,0.5,499.791,1.6,497.839,0.2,496.512,1.2,498.757,0.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,011CALS.d,,12/11/2021 12:54,CalStd,10,1000,,1004.79,1.5,,,1003.18,0.6,596.059,34.6,1003.282,1.1,1002.573,1.1,1005.156,0.8,1003.236,0.8,1004.646,1,1001.396,0.4,1001.832,0.5,1001.299,0.4,1002.601,0.7,1001.18,0.4,1002.112,0.1,1001.833,0.8,999.434,0.4,1000.905,1.1,1000.121,0.3,999.947,0.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,012BLKV.d,,12/11/2021 12:58,BlkVrfy,,blank verify,,0.393,4.3,,,0.015,6.4,596.059,124.9,0.013,3.3,0.014,1.9,0.014,3.7,0.014,16.3,0.014,9.2,0.013,8,0.014,7.9,0.015,3.9,0.015,3.1,0.014,3.2,0.013,5.1,0.014,2.5,<0.000,N/A,0.014,4.4,0.014,4.5,0.014,3.6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1311.33 is over the calibration range,FALSE,013SMPL.d,,12/11/2021 13:04,Sample,,4100_1_10-30,,0.147,1.7,,,0.007,4.9,1311.33,41.7,62.333,1.5,0.006,9,0.004,7.9,0.006,28.6,0.005,14.9,0.004,18.4,37.207,1,37.04,1.3,0.009,7.1,0.004,1.7,0.004,13.1,0.004,4.7,<0.000,N/A,0.009,2.7,58.308,0.8,0.005,6,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 2384.36 is over the calibration range,FALSE,014SMPL.d,,12/11/2021 13:09,Sample,,4100_1_10-60,,0.116,2.4,,,0.007,2.3,2384.356,8.7,215.464,0.5,0.008,4.5,0.003,8.2,0.003,43.6,0.004,5.6,0.003,13.9,169.15,0.5,169.521,1.1,0.02,5.3,0.003,5.9,0.004,26.7,0.003,12.1,<0.000,N/A,0.026,3.4,236.483,0.8,0.005,6.2,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,015SMPL.d,,12/11/2021 13:14,Sample,,4100_1_50-10,,0.101,1.7,,,0.004,10,476.847,43.3,34.297,1.5,0.004,7.8,0.002,6.1,0.003,38.6,0.002,37,0.002,11.8,20.15,0.3,20.621,1,0.004,12.3,0.001,21.3,0.002,15.7,0.002,5.5,<0.000,N/A,0.004,9.3,19.84,0.2,0.002,20.7,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,016SMPL.d,,12/11/2021 13:19,Sample,,4100_1_50-30,,0.093,5,,,0.004,6,953.695,57.3,124.473,0.5,0.006,8.6,0.001,8.4,0.001,75,0.002,46.7,0.001,55.4,96.736,1.2,95.79,1.2,0.012,14.1,0.001,29.2,0.001,28.2,0.001,12.7,<0.000,N/A,0.014,1.6,118.795,0.2,0.002,14.5,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000,FALSE,017SMPL.d,,12/11/2021 13:24,Sample,,4100_2_10-30,,0.087,3.4,,,0.003,2.8,834.483,24.7,58.499,1,0.002,8.5,0.001,8.5,0.001,41.7,0.001,86.7,0.001,44.6,35.634,0.7,34.976,0.5,0.006,6.2,0,30.5,0.001,32.8,0,20.8,<0.000,N/A,0.005,1.4,54.586,1.4,0.001,8.4,,
113  In  [ No Gas ] :  Calibration Curve Fit R value = -0.283993 is below the allowed minimum = 0.950000113  In  [ No Gas ] :  Concentration value = 1549.75 is over the calibration range,FALSE,018SMPL.d,,12/11/2021 13:29,Sample,,4100_2_10-60,,0.083,0.2,,,0.004,13,1549.754,13.3,219.859,0.6,0.005,2.7,0.001,14.1,0.001,45.8,0.001,75,0.001,36.7,174.368,1.2,174.717,0.7,0.019,2,0,19.9,0,42.9,0,17.5,<0.000,N/A,0.024,2.4,244.96,0.9,0.003,1.4,,
