Well,Knockout,Label,Growth OD,Final OD for Screen,Abs 650 nm,Mask,Comment
D11,SO_2365,{\it \delta SO\_2365},0.33,0.243,0.1455,Low,Predicted lipoprotein.
D05,SO_1894,{\it \delta liuD},0.401,0.456,0.1207,Low,Methylcrotonyl-CoA carboxylase biotin-binding.
H03,SO_0261,{\it \delta ccmC},0.314,0.225,0.1515,Low,ABC-type heme export system permease component 2 CcmC.
G06,SO_4685,{\it \delta SO\_4685},0.304,0.259,0.0851,High,Outer membrane protein in capsule/EPS biosynthesis locus.
H01,SO_0107,{\it \delta fdhD},0.41,0.32,0.0905,High,formate dehydrogenase assembly/maturation protein FdhD
H06,Blank,Blank,0.41,0.312,0.0791,High,Probably cross contamination with G06 (δSO_4685).
F09,SO_t099,{\it \delta SO\_t099},0.364,0.323,0.1127,Normal,
A10,SO_A0126,{\it \delta SO\_A0126},0.397,0.327,0.1061,Normal,
G10,SO_A0087,{\it \delta SO\_A0087},0.415,0.347,0.1079,Normal,
G08,SO_A0067,{\it \delta SO\_A0067},0.391,0.349,0.1063,Normal,
A02,SO_4818,{\it \delta SO\_4818},0.376,0.317,0.1061,Normal,
A08,SO_4658,{\it \delta SO\_4658},0.413,0.329,0.102,Normal,
G04,SO_4637,{\it \delta SO\_4637},0.425,0.353,0.1035,Normal,
A06,SO_4530,{\it \delta SO\_4530},0.417,0.324,0.1086,Normal,
A04,SO_4469,{\it \delta SO\_4469},0.425,0.328,0.1037,Normal,
G02,SO_4445,{\it \delta SO\_4445},0.407,0.347,0.1067,Normal,
F11,SO_4356,{\it \delta SO\_4356},0.429,0.355,0.1047,Normal,
F07,SO_4250,{\it \delta SO\_4250},0.384,0.367,0.1056,Normal,
F05,SO_3775,{\it \delta SO\_3775},0.401,0.353,0.1056,Normal,
F03,SO_3668,{\it \delta SO\_3668},0.36,0.327,0.1139,Normal,
F01,SO_3593,{\it \delta SO\_3593},0.396,0.355,0.1003,Normal,
E12,SO_2964,{\it \delta SO\_2964},0.432,0.344,0.1058,Normal,
